id|name|location|lat|lon|the_geom|image_available|video_available 
64|Indiranagar 12th main|| 12.97023|77.64123|0101000020E6100000B3CD8DE90969534038328FFCC1F02940|t|f
11|Baglur cross, Airport Road|| 13.12135|77.61075|0101000020E61000000C022B87166753403CBD5296213E2A40|t|f
130|Sattelite Bus Stand|Mysore Road|12.95435|77.54414|0101000020E6100000821C9430D36253400DE02D90A0E82940|t|f
95|Madhu Petrol Pump, Mysore Rd|| 12.91255|77.48517|0101000020E610000005C078060D5F5340FAEDEBC039D32940|t|f
58|Hoysala Junction, Kengeri|| 12.92453|77.48508|0101000020E610000065FCFB8C0B5F53407E5704FF5BD92940|t|f
149|Ullal Junction - Ring Road|| 12.95202|77.4998|0101000020E61000009CA223B9FC5F53409D465A2A6FE72940|t|f
133|Shankara mutt, Vijaynagar|| 12.99936|77.54117|0101000020E6100000E2E47E87A262534072DC291DACFF2940|t|f
20|Bharathi nursing home, KR Rd|Near Garadi Apartments|12.93684|77.57394|0101000020E61000007077D66EBB645340562B137EA9DF2940|t|f
76|Konanakunte Cross|Kanakapura Road|12.88969|77.56353|0101000020E6100000271422E0106453400F289B7285C72940|t|f
108|NGEF, Old madras Road|| 12.98802|77.65128|0101000020E61000007D224F92AE6953407D96E7C1DDF92940|t|f
44|D Souza Circle|Near Life Style, Garuda Mall|12.96724|77.61124|0101000020E61000007380608E1E6753401EC4CE143AEF2940|t|f
90|Kuvempu Junction BEL|| 13.04364|77.56119|0101000020E6100000E7357689EA6353404A9869FB57162A40|t|f
39|Dhobi Ghatt, Chord Road|| 12.98783|77.54982|0101000020E6100000F3AB394030635340EF0390DAC4F92940|t|f
